"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.16,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.1,Does this requirement reflect your company current practice: Data transmitted over networks must be protected based on its classification.,,2,Yes|No|Somewhat|Not applicable,,0,,,8.2 8.3|8.4|8.4|8.4,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Network diagrams|Firewall rule export|VPN configuration|Change tickets|Screenshots|System exports|Other,,0,,,,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.5,Does this requirement reflect your company current practice: PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.,,2,Yes|No|Somewhat|Not applicable,,0,,,8.6 8.7|8.8|8.8|8.8,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Encryption configuration|Key management records|Certificate inventory|Secret management export|Screenshots|System exports|Other,,0,,,,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
8,Standard - Data Transmission,"<i>- Data transmitted over networks must be protected based on its classification.
- PII and other sensitive data must be encrypted during transmission in accordance with the Cryptography policy.</i>",8.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.1,"Does this requirement reflect your company current practice: Data retention periods must be defined based on legal, regulatory, and business requirements.",,2,Yes|No|Somewhat|Not applicable,,0,,,9.2 9.3|9.4|9.4|9.4,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.5,Does this requirement reflect your company current practice: PII must not be retained longer than necessary.,,2,Yes|No|Somewhat|Not applicable,,0,,,9.6 9.7|9.8|9.8|9.8,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.9,Does this requirement reflect your company current practice: Data must be disposed of securely when no longer required.,,2,Yes|No|Somewhat|Not applicable,,0,,,9.10 9.11|9.12|9.12|9.12,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
9,Standard - Data Retention and Disposal,"<i>- Data retention periods must be defined based on legal, regulatory, and business requirements.
- PII must not be retained longer than necessary.
- Data must be disposed of securely when no longer required.</i>",9.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.1,Does this requirement reflect your company current practice: Access to data must be granted based on business need and least privilege.,,2,Yes|No|Somewhat|Not applicable,,0,,,10.2 10.3|10.4|10.4|10.4,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|IAM export|Access review records|User account listing|Approval tickets|Authentication logs|MFA configuration screenshots|Password manager records|Screenshots|System exports|Other,,0,,,,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.5,Does this requirement reflect your company current practice: Access to PII must be restricted and reviewed when roles or responsibilities change.,,2,Yes|No|Somewhat|Not applicable,,0,,,10.6 10.7|10.8|10.8|10.8,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|IAM export|Access review records|User account listing|Approval tickets|Authentication logs|MFA configuration screenshots|Password manager records|Screenshots|System exports|Other,,0,,,,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
10,Standard - Data Access,"<i>- Access to data must be granted based on business need and least privilege.
- Access to PII must be restricted and reviewed when roles or responsibilities change.</i>",10.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.1,Does this requirement reflect your company current practice: All organizational data must be backed up at least daily.,,2,Yes|No|Somewhat|Not applicable,,0,,,11.2 11.3|11.4|11.4|11.4,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.5,"Does this requirement reflect your company current practice: Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.",,2,Yes|No|Somewhat|Not applicable,,0,,,11.6 11.7|11.8|11.8|11.8,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Backup job reports|Restore test records|Retention configuration|Recovery runbooks|Supplier register|Due diligence questionnaire|Contract clauses|Supplier review records|Screenshots|System exports|Other,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.9,"Does this requirement reflect your company current practice: Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.",,2,Yes|No|Somewhat|Not applicable,,0,,,11.10 11.11|11.12|11.12|11.12,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Backup job reports|Restore test records|Retention configuration|Recovery runbooks|Encryption configuration|Key management records|Certificate inventory|Secret management export|Screenshots|System exports|Other,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.13,Does this requirement reflect your company current practice: Backup data containing PII must be protected in accordance with its classification.,,2,Yes|No|Somewhat|Not applicable,,0,,,11.14 11.15|11.16|11.16|11.16,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.14,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Backup job reports|Restore test records|Retention configuration|Recovery runbooks|Screenshots|System exports|Other,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.15,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.16,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.17,Does this requirement reflect your company current practice: Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.,,2,Yes|No|Somewhat|Not applicable,,0,,,11.18 11.19|11.20|11.20|11.20,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.18,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Backup job reports|Restore test records|Retention configuration|Recovery runbooks|SDLC procedure|Code review records|Security test reports|Release approvals|Screenshots|System exports|Other,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.19,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
11,Standard - Data Backup and Recovery,"<i>- All organizational data must be backed up at least daily.
- Backups must be retained for up to one (1) year, unless shorter or longer retention is required by legal, regulatory, or contractual obligations.
- Backup scope, storage, encryption, and protection must follow the Backup & Recovery Policy and Cryptography Policy.
- Backup data containing PII must be protected in accordance with its classification.
- Backup restore capabilities must be tested in accordance with the Backup & Recovery Policy.</i>",11.20,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
12,Procedure - Data Inventory Procedure,"<i>1. Systems and repositories that store or process organizational data are identified.
2. Data sets within each system are identified and documented.
3. For each data set, the required inventory attributes are recorded.
4. The data inventory is reviewed and updated periodically or when significant changes occur.</i>",12.1,Does this procedure reflect your actual process?,"1. Systems and repositories that store or process organizational data are identified.
2. Data sets within each system are identified and documented.
3. For each data set, the required inventory attributes are recorded.
4. The data inventory is reviewed and updated periodically or when significant changes occur.",2,Yes|No|Somewhat|Not applicable,,0,,,|12.2|12.2|12.2,1
12,Procedure - Data Inventory Procedure,"<i>1. Systems and repositories that store or process organizational data are identified.
2. Data sets within each system are identified and documented.
3. For each data set, the required inventory attributes are recorded.
4. The data inventory is reviewed and updated periodically or when significant changes occur.</i>",12.2,Please provide corrections in step-by-step format.,,1,,,0,,,,1
13,Procedure - Data Classification Procedure,"<i>1. Data owners identify the data they are responsible for.
2. Data is classified using the classification table.
3. Classification decisions are documented.
4. Classifications are reviewed periodically or when data usage changes.</i>",13.1,Does this procedure reflect your actual process?,"1. Data owners identify the data they are responsible for.
2. Data is classified using the classification table.
3. Classification decisions are documented.
4. Classifications are reviewed periodically or when data usage changes.",2,Yes|No|Somewhat|Not applicable,,0,,,|13.2|13.2|13.2,1
13,Procedure - Data Classification Procedure,"<i>1. Data owners identify the data they are responsible for.
2. Data is classified using the classification table.
3. Classification decisions are documented.
4. Classifications are reviewed periodically or when data usage changes.</i>",13.2,Please provide corrections in step-by-step format.,,1,,,0,,,,1
14,Procedure - Data Retention and Disposal Procedure,"<i>1. Retention requirements are identified for each data type.
2. Data is retained for the defined period.
3. Data is securely disposed of when retention periods expire.
4. Disposal actions are documented where required.</i>",14.1,Does this procedure reflect your actual process?,"1. Retention requirements are identified for each data type.
2. Data is retained for the defined period.
3. Data is securely disposed of when retention periods expire.
4. Disposal actions are documented where required.",2,Yes|No|Somewhat|Not applicable,,0,,,|14.2|14.2|14.2,1
14,Procedure - Data Retention and Disposal Procedure,"<i>1. Retention requirements are identified for each data type.
2. Data is retained for the defined period.
3. Data is securely disposed of when retention periods expire.
4. Disposal actions are documented where required.</i>",14.2,Please provide corrections in step-by-step format.,,1,,,0,,,,1
